question,id,gold_standard_answer
Qual è l'importanza di avere un rapporto di fiducia con l'ostetrica durante la gravidanza e il parto?,5,"In base al testo di riferimento, stabilire un rapporto di fiducia e conoscenza con l'ostetrica (o con un gruppo di ostetriche) si inserisce nel Percorso Nascita per assicurare la continuità dell'assistenza attraverso la presa in carico della donna per tutto il percorso. 

Inoltre, l'importanza di avere questa figura come professionista di riferimento risiede nel fatto che, in caso di insorgenza di complicazioni o fattori di rischio, sarà proprio lei a definire per la donna il percorso di consulenza o di presa in carico specialistica."
Quanto tempo devo aspettare dopo un taglio cesareo prima di riprendere l'attività fisica?,263,"In base al testo di riferimento, è necessario aspettare **almeno 6 settimane**, che corrisponde al tempo medio di guarigione della ferita (in assenza di ulteriori complicazioni, come ad esempio un'infezione). 

Tuttavia, prima di riprendere l'attività fisica, è preferibile e consigliabile rivolgersi al proprio medico o ginecologo per sapere quando è più sicuro tornare a praticare sport impegnativi. Inoltre, nei primi mesi dopo il parto cesareo, si raccomanda di non eseguire esercizi faticosi e di non sollevare carichi pesanti."
"Ostetrica, quali sono i fattori che determinano il gruppo sanguigno del mio bambino?",464,"Il gruppo sanguigno del suo bambino si eredita dai genitori e viene definito in base ad alcune sostanze, in grado di essere riconosciute dal sistema di difesa dell’organismo, chiamate antigeni Rh e AB0. Queste sostanze si trovano sulla superficie dei globuli rossi (chiamati anche emazie o eritrociti)."
Posso assumere integratori di Coenzima Q,351,La sua assunzione sotto forma di integratori va sempre concordata con il proprio medico.
Qual è la probabilità che il mio bambino nasca con un problema congenito?,224,"Nella popolazione generale, la probabilità di avere un bambino con un problema presente alla nascita (congenito) è pari a circa il 3%. 

In particolare, nell'1% di questi casi si tratta di anomalie che riguardano i cromosomi o il DNA, mentre negli altri casi si tratta di malformazioni congenite (come ad esempio del cuore o dei reni) o di altre malattie (come malattie infettive o enzimopatie)."
"""Quanto tempo ci vorrà per guarire dalla pitiriasi rosea dopo la comparsa delle macchie sulla pelle?""",198,"In base al testo di riferimento, si guarisce dalla pitiriasi rosea in 2-12 settimane."
"Ostetrica, è normale che i neonati vomitino?",891,"In base al testo di riferimento, i bambini vomitano spesso (ogni genitore avrà visto vomitare il proprio figlio almeno una volta). 

Tuttavia, il vomito di per sé non è una malattia, ma un riflesso e un segno con cui il nostro organismo ci avverte che c’è qualcosa che non va. Più precisamente, si tratta di un riflesso in cui, dopo aver ricevuto un segnale dal sistema nervoso, il diaframma si contrae bruscamente e spinge il contenuto dello stomaco verso l'alto, lungo l'esofago, fino alla bocca."
"Ostetrica, quali sono le cause delle macchie sulla pelle durante la gravidanza?",1179,"In base al testo di riferimento fornito, non vengono indicate le cause delle macchie sulla pelle durante la gravidanza. Il testo definisce il fenomeno come ""cloasma gravidico"" o ""melasma"" e descrive dove si manifesta (viso, petto, mani e talvolta a livello genitale), ma si conclude ponendo la domanda ""Perché vengono le macchie in gravidanza?"" senza fornirne la risposta o spiegarne le cause."
Quali sono le precauzioni da prendere se ho la spondilite anchilosante durante la gravidanza?,267,Nel testo di riferimento fornito non sono presenti informazioni relative alle precauzioni da prendere in caso di gravidanza per chi soffre di spondilite anchilosante.
Qual è la lunghezza dell'embrione alla settima settimana di gravidanza?,108,Alla settima settimana di gravidanza l’embrione ha raggiunto un centimetro di lunghezza.
Qual è l'importanza di utilizzare la crema solare durante la gravidanza?,1107,"In base al testo di riferimento, l'utilizzo della crema solare serve a proteggere la pancia in gravidanza, ma non solo."
"Ostetrica, quanto latte deve assumere il mio neonato nei primi giorni di vita?",571,"Nei primi giorni di vita il neonato assume il colostro. Le quantità sono molto piccole (pochi grammi, come un cucchiaino) durante il primo giorno e poi crescono man mano, a condizione che non vengano poste limitazioni alla frequenza delle poppate."
Quali sono i modi migliori per creare un clima di fiducia e sostegno intorno a me mentre allatto?,790,"In base al testo di riferimento, i modi per creare un clima di fiducia e sostegno intorno a te mentre allatti sono:

* Ricevere aiuto nelle faccende domestiche;
* Ricevere aiuto nella preparazione dei pasti;
* Avere la possibilità di riposare quando ne senti il bisogno;
* Favorire una ripresa dell’attività fisica e del lavoro protetto."
Qual è l'importanza del linguaggio che utilizziamo con il nostro bambino per sviluppare le sue capacità empatiche?,723,"In base al testo di riferimento, l'importanza del linguaggio (e dell'atteggiamento) che assumiamo risiede nel fatto che deve aiutare il bambino a sviluppare le sue capacità empatiche, ovvero la capacità di mettersi nei panni dell'altro. Questo sostegno da parte degli adulti è fondamentale affinché tale competenza si trasformi da una semplice potenzialità a una capacità interiorizzata e individuale del bambino."
"Ostetrica, quali informazioni posso trovare sull'etichetta a batteria dei prodotti alimentari per aiutarmi a fare scelte consapevoli durante la mia gravidanza?",359,"In base al testo di riferimento, sull'etichetta a batteria e sull'etichettatura dei prodotti alimentari puoi trovare le seguenti informazioni per aiutarti a fare scelte consapevoli:

* **Indicazioni nutrizionali semplici e immediate**, raffigurate come una o più batterie.
* Informazioni sulla **composizione e sulle caratteristiche** del prodotto alimentare.
* Informazioni sul **corretto uso, consumo e durata** del prodotto.

Lo scopo di questo sistema è favorire scelte consapevoli per la composizione della propria alimentazione giornaliera. 

*Nota: il testo di riferimento non contiene informazioni specifiche o indicazioni differenziate per lo stato di gravidanza.*"
È normale che il mio bambino abbia la febbre più volte all'anno?,761,"Sì, secondo il testo di riferimento, un bambino sano tra i 2 e i 6 anni può avere la febbre più volte l’anno. Questo non costituisce assolutamente un pericolo per la sua salute."
Quali sono i radionuclidi utilizzati in medicina nucleare per la diagnosi delle malattie?,268,"Sulla base del testo di riferimento fornito, i radionuclidi utilizzati per lo studio e l'accertamento (diagnosi) delle malattie sono:

* **Gallio 68**: utilizzato per studiare in modo più preciso e completo un particolare tipo di tumori, i cosiddetti “tumori neuroendocrini”.
* **Iodio 131**: impiegato soprattutto nello studio delle malattie della tiroide."
Qual è la posizione corretta per tenere il neonato durante il contatto pelle a pelle?,8,"In base al testo di riferimento, la posizione corretta durante il contatto pelle a pelle prevede:

* **La mamma** in posizione semiseduta (non distesa).
* **Il neonato** con:
  * viso visibile e rivolto da un lato;
  * bocca e naso non ostruiti e liberi di respirare;
  * collo esteso;
  * torace ben appoggiato contro il torace della mamma e ben coperto;
  * gambe flesse."
Quali sono le cause comuni del broncospasmo nei bambini più grandi?,1078,"In base al testo di riferimento, nei bambini più grandi il broncospasmo può essere dovuto a:

* La presenza di **asma**;
* Eventuali **allergie**.

Inoltre, nei bambini che soffrono di asma, la comparsa del broncospasmo può essere favorita da:
* Sostanze inquinanti presenti nell’aria;
* Fumo passivo;
* Freddo;
* Stimoli apparentemente “innocui” come una risata."
Quali sono le conseguenze se il criptorchidismo non viene curato?,240,"Se non curato, in fase avanzata il criptorchidismo può causare:

* formazione di una massa anomala e/o tumorale ai testicoli, con possibile conseguente asportazione del testicolo malato;
* difficoltà nel camminare;
* torsione del testicolo ritenuto, nella fase acuta;
* mancato sviluppo del tessuto seminale;
* progressiva atrofia del testicolo, con riduzione del volume;
* scarsa produzione di spermatozoi (oligozoospermia) o anche assente produzione di spermatozoi (azoospermia);
* bassa produzione di ormoni (ipogonadismo);
* sterilità."
"""Quali sono i passi che devo seguire se ho una patologia cronica e voglio rimanere incinta?""",14,"Se hai una patologia cronica e desideri rimanere incinta, i passi da seguire in base al testo di riferimento sono:

1. **Prima del concepimento:** Devi valutare, insieme al tuo ginecologo o allo specialista di riferimento, la compatibilità della tua terapia farmacologica con la gravidanza. Questo passaggio è fondamentale poiché, mentre molti farmaci possono essere utilizzati in sicurezza, per alcune terapie sarà necessaria una modifica prima di iniziare la ricerca della gravidanza.
2. **Durante la gravidanza o per l'allattamento:** Se assumi farmaci in gravidanza o hai la necessità di verificare se questi sono compatibili con l'allattamento, puoi richiedere una consulenza telefonica:
   - Presso l'ospedale in cui è nato il bambino;
   - Presso la Neonatologia dell'Ospedale Santa Chiara di Trento ai numeri di telefono **0461 903811** e **0461 903512**."
Qual è la composizione del meconio che il mio bambino espellerà dopo la nascita?,1051,"In base al testo di riferimento, il meconio è composto da:

* liquido amniotico;
* cellule epiteliali intestinali;
* muco;
* bile;
* acqua.

Nei giorni successivi al parto (durante la fase di transizione), le feci saranno invece composte da meconio commisto a residui alimentari."
Quali sono alcuni semplici accorgimenti che posso adottare per mantenere in buona salute il mio apparato cardiocircolatorio durante la gravidanza?,384,"In base al testo di riferimento fornito, non viene fatta menzione specifica della gravidanza. Tuttavia, per mantenere in buona salute l'apparato cardiocircolatorio in generale, il testo indica i seguenti accorgimenti:

* **Fare attività fisica:** ad esempio, camminare almeno un'ora al giorno a passo lungo e svelto, oppure praticare sport come il nuoto.
* **Evitare l'inattività prolungata:** stare seduti per lungo tempo (ad esempio in macchina o in aereo per lunghi viaggi) può causare gonfiore a caviglie e polpacci e conseguente tromboflebite alle gambe.
* **Sgranchirsi le gambe:** è necessario alzarsi a intervalli di circa un'ora.
* **Muoversi anche da seduti:** se si è costretti a rimanere seduti, è importante muovere le gambe o flettere le caviglie con una certa frequenza."
"""Ostetrica, ho notato che ho delle afte che continuano a ripresentarsi. Potrebbe esserci una causa familiare per questo disturbo?""",434,"Sì, è possibile. Spesso le persone che presentano afte che si ripresentano nel tempo hanno familiari con questo stesso disturbo (storia familiare di afte). Ciò può essere dovuto all'ereditarietà oppure a un fattore ambientale condiviso, come l'assunzione di determinati alimenti o l’esposizione ad allergeni."
"Quali sono le vitamine più importanti che devo considerare durante la gravidanza e l'allattamento, specialmente se sono vegana?",808,"In base al testo di riferimento fornito, le vitamine più importanti da considerare durante la gravidanza e l'allattamento, specialmente per una mamma vegana, sono:

1. **Vitamina B12**: sia in gravidanza sia in allattamento, la mamma vegana deve assumerne quantità sufficienti.
2. **Vitamina D**: i vegani, non assumendo uova (una delle fonti di questa vitamina, insieme ad alcuni pesci e all'esposizione solare), corrono un rischio maggiore di esserne carenti, in particolare durante il periodo invernale. Per questo motivo, è raccomandabile assumere integratori o alimenti arricchiti con tale vitamina."
"Ostetrica, quali parti del corpo possono essere infettate dal gonococco durante la gravidanza?",466,"In base al testo di riferimento, il gonococco può infettare le seguenti parti del corpo:

* Il collo dell’utero (cervice uterina)
* L'uretra (l'ultimo tratto delle vie urinarie)
* Il retto
* La gola (meno comunemente)
* Gli occhi (meno comunemente)

Inoltre, l'infezione può essere trasmessa da madre a figlio durante il parto, potendo causare cecità nel neonato (colpendo quindi gli occhi del piccolo)."
Quali sono i rischi del fumo passivo durante la gravidanza per il mio bambino?,959,"In base al testo di riferimento, i rischi e gli effetti dell'esposizione al fumo passivo per il bambino durante la gravidanza sono i seguenti:

* I composti contenuti nel fumo, una volta inalati, passano dai polmoni al sangue e a tutti i tessuti, arrivando anche al feto attraverso la placenta.
* In particolare, la nicotina diminuisce l'afflusso di sangue all'utero e alla placenta, riducendo di conseguenza l'apporto di sostanze nutritive al bambino."
Qual è il modo migliore per spogliare il mio bambino in modo che possa esplorare il suo corpo?,632,
Quali sono i benefici dell'arnica durante la gravidanza e dopo il parto?,638,"In base al testo di riferimento fornito, non sono presenti informazioni riguardanti i benefici dell'arnica specificamente durante la gravidanza e dopo il parto. 

Il testo menziona unicamente le proprietà antinfiammatorie, antimicrobiche e immunoregolatrici dell'arnica, e il suo utilizzo tradizionale (confermato da studi scientifici) per curare lussazioni, distorsioni, ematomi, escoriazioni e ferite."
È sicuro ricevere il vaccino antinfluenzale mentre allatto il mio bambino?,495,"Sì, il vaccino antinfluenzale è fortemente consigliato anche durante l'allattamento, poiché permette di rinforzare le difese immunitarie del neonato che non può essere vaccinato prima del terzo mese di vita."
"**Ostetrica, quali sono stati gli effetti della pandemia da COVID-",1010,"In base al testo di riferimento, gli effetti delle misure adottate per fronteggiare la pandemia da COVID-19 (lockdown, distanziamento sociale, utilizzo delle mascherine, disinfezione delle mani e sanificazione degli ambienti) sono stati i seguenti:

* **Nel corso del 2020:** i casi di bronchiolite segnalati in tutto il mondo hanno subito un calo del 70-80% rispetto agli anni precedenti.
* **Negli ultimi mesi del 2021:** si è registrato, al contrario, un rapido aumento del numero di casi di bronchiolite nei bambini e nei neonati."
Quali sono i benefici di alcune piante medicinali durante la gravidanza?,186,"In base al testo di riferimento fornito, non sono presenti informazioni riguardanti i benefici delle piante medicinali durante la gravidanza."
Quali sono i sintomi iniziali dell'asma nei bambini che dovrei tenere d'occhio?,564,"In base al testo di riferimento, l'attacco d'asma nei bambini comincia generalmente con una **tosse secca, stizzosa e fastidiosa**."
"Ostetrica, come posso utilizzare i gesti spontanei del mio bambino per facilitare il cambio del pannolino?",1098,"In base al testo di riferimento, può utilizzare i gesti spontanei del bambino per compiere delle azioni, adattandosi ad essi per assecondare il suo bisogno di muoversi ed evitare che si senta bloccato. 

Ad esempio, un piedino alzato può diventare il momento giusto per infilare un calzino, facendo poi notare al bambino l'utilità del suo stesso movimento."
Quali sono le raccomandazioni dell'OMS e dell'UNICEF riguardo all'allattamento materno?,1136,"In base al testo di riferimento, l’OMS e l’UNICEF raccomandano:

* L’allattamento materno esclusivo e a richiesta per i primi 6 mesi di vita del neonato;
* Successivamente, dopo l’introduzione degli alimenti complementari, il proseguimento dell'allattamento fino ai 2 anni e oltre, e in ogni caso fino a quando mamma e bambino lo desiderano."
Qual è l'importanza di far assaporare nuovi cibi al bambino durante la gravidanza?,1146,"Sulla base del testo di riferimento, l'importanza di far fare al bambino una precoce esperienza dei sapori a partire dalla gravidanza (attraverso i ""sapori"" dell'alimentazione materna percepiti mediante il liquido amniotico) risiede nel fatto che, durante la fase neofobica — in particolare nel corso del terzo anno di vita —, l'introduzione di nuovi cibi diventa sempre più difficile se il bambino non ha avuto modo di assaggiarli in precedenza."
"Qual è il modo migliore per spiegare ai bambini piccoli le relazioni tra adulti, come il matrimonio?",921,"In base al testo di riferimento, per spiegare questo tipo di relazioni ai bambini (come nel caso della domanda se da grandi sposeranno il papà o la mamma), si risponde spiegando che il genitore è già sposato, che quando il bambino sarà grande il genitore avrà molti anni più di lui, e che crescendo il bambino conoscerà altre persone tra cui troverà certamente qualcuno che gli piace."
"""Quali sono i disturbi del sonno che potrei aspettarmi di vedere nel mio bambino?""",966,"In base al testo di riferimento, i disturbi del sonno che si possono manifestare nei bambini sono:

* **Sonnambulismo**: un disturbo di natura benigna che può manifestarsi nei bambini dai 2 anni di età in su (e può continuare anche in età adulta).
* **Pavor nocturnus** (terrori notturni).
* **Sonniloquio** (parlare nel sonno).
* **Risvegli confusionali**."
Qual è l'importanza del contatto visivo e della voce per il neonato nei primi giorni di vita?,1150,"In base al testo di riferimento, il vostro volto (con le sue mutevoli espressioni) e la vostra voce sono per il neonato una fonte di sorpresa e meraviglia, e rappresentano il primo approccio prima di iniziare a proporre il *tummy time*."
Quali sono le principali cause dei disturbi del sonno nei bambini al di sotto dei,1002,"In base al testo di riferimento, le principali cause dei disturbi del sonno nei bambini al di sotto dei 5 anni sono:

* Le cattive abitudini di vita;
* L'aumento delle luci artificiali;
* L'utilizzo sempre più precoce degli strumenti elettronici, come tablet o smartphone.

Inoltre, per i bambini più piccoli di età compresa fra 1 e 3 anni, i disturbi possono essere causati anche dalla cosiddetta ""ansia da separazione"", ovvero la paura di essere separati dalla mamma."
"Ostetrica, quali esami sono necessari per diagnosticare la cistite acuta durante la gravidanza?",124,"In base al testo di riferimento, per diagnosticare la cistite acuta in gravidanza (che rientra nei casi diversi dalle donne non in gravidanza e senza altre malattie), alla visita medica devono essere associati i seguenti esami:

* **Esame delle urine**
* **Urinocoltura**
* **Antibiogramma**"
"""Quali sintomi dovrei tenere d'occhio per capire se ho bisogno di un test per l'insufficienza renale durante la gravidanza?""",295,"Il testo di riferimento non menziona specificamente la gravidanza. Tuttavia, indica che il test diventa indispensabile qualora si presentino i sintomi di insufficienza renale (o di epatite), che includono:

* stimolo frequente a urinare
* necessità di bere spesso
* anomalie nell'urina (ad esempio urina di colore più scuro, con sangue o schiumosa)
* dolore alle articolazioni
* dolore alle ossa
* mal di schiena
* frequenti crampi muscolari
* sensazione di gambe affaticate
* stanchezza e spossatezza
* problemi durante il sonno (fatica ad addormentarsi o a riprendere il sonno, risvegli notturni, sonnolenza durante il giorno)
* pressione alta (ipertensione arteriosa)
* diminuzione o scomparsa dell’appetito
* gonfiore (localizzato soprattutto alle estremità, come mani e piedi)
* prurito immotivato"
"È vero che posso bere alcolici mentre allatto, o è completamente controindicato?",1018,"In base alle ricerche recenti, gli alcolici durante l'allattamento non sono controindicati in modo assoluto. 

Tuttavia, per riuscire ad allattare in modo sicuro e salutare, è necessario consumare alcol in modo moderato e responsabile, prestando attenzione ad alcune piccole accortezze. Bisogna infatti considerare che l'alcol entra facilmente nel flusso sanguigno e nel latte materno; i livelli di alcol nel latte variano in base al quantitativo di alcolici assunti e al tempo trascorso da quando si è bevuto."
Quali sono i sintomi che dovrei osservare nel mio bambino per capire se potrebbe avere problemi di stitichezza?,1026,"In base al testo di riferimento fornito, non vengono elencati i sintomi specifici da osservare nel bambino per capire se soffre di stitichezza. 

Il testo indica solamente che esistono ""sintomi diversi legati alla stitichezza"" e che la raccolta della storia clinica e la visita medica sono di solito sufficienti al pediatra per valutare la situazione e capire quando è il caso di preoccuparsi."
Come posso insegnare al mio bambino l'importanza dell'autocontrollo fin da piccolo?,895,"In base al metodo di Maria Montessori descritto nel testo di riferimento, per educare un bambino in questa direzione (favorendo l'autocontrollo, la consapevolezza del proprio volere e la capacità di adattarsi agli altri) è possibile:

* **Insegnare l'attesa:** ad esempio, mettendo a disposizione dei bambini un solo paio di forbici (e non un paio per ciascun bambino).
* **Educare alla responsabilità:** concedendo il materiale a un singolo bambino che lo prende in carico, lo usa e ne gestisce personalmente il riordino e la pulizia. Nel caso di un lavoro di gruppo, invece, i bambini gestiscono insieme anche la divisione della responsabilità."
Quali alimenti dovrei privilegiare nella mia dieta durante la gravidanza per controllare l'aumento di peso?,929,"In base al testo di riferimento, per contenere l'aumento di peso durante la gravidanza dovresti privilegiare i seguenti alimenti:

* **Cereali integrali**, come pasta, pane e riso;
* **Frutta e verdura**, consumandone cinque porzioni al giorno.

Inoltre, per controllare il peso, il testo consiglia di:
* Fare attenzione al consumo di snack, merendine, dolci e bevande zuccherate (in quanto troppo ricchi di grassi e zuccheri);
* Non esagerare con gli alimenti fritti (come patatine e cotolette), preferendo metodi di cottura più semplici come la cottura al forno, al vapore o in padella."
Quali sono le principali abitudini del sonno che dovrei osservare nel mio bambino appena nato?,652,"In base esclusivamente al testo di riferimento fornito, gli aspetti relativi al sonno del bambino che vengono indicati e che sono stati oggetto di indagine sono:

* La percezione di un problema di sonno;
* Le abitudini del sonno;
* Le modalità di addormentamento e di riaddormentamento in occasione dei risvegli notturni."
Quali strategie posso utilizzare per aiutare il mio bambino a interiorizzare le norme fin dai primi momenti di vita?,568,"In base al testo di riferimento fornito, non vengono indicate strategie pratiche specifiche per aiutare un bambino a interiorizzare le norme. 

Tuttavia, il testo evidenzia due elementi fondamentali relativi a questo tema fin dai primi momenti di vita:
1. I bambini, già da neonati, hanno una naturale **""sete di conoscere le leggi del mondo fisico, relazionale e sociale""**.
2. È importante adottare la concezione del bambino come un **""soggetto da conoscere e da rispettare sempre, fin dai primi momenti di vita""**."
"""È sicuro assumere integratori alimentari durante la gravidanza, o dovrei consultare il mio medico prima di farlo?""",431,"Prima di utilizzare gli integratori alimentari è sempre bene affidarsi ai consigli del proprio medico curante o di un esperto di nutrizione. 

Per quanto riguarda la gravidanza, il testo specifica che è considerata sicura l'assunzione di piperina mediante un'alimentazione bilanciata (mentre non vengono forniti dettagli specifici sulla sicurezza degli integratori in generale durante la gravidanza, se non l'indicazione generale di consultare il medico prima di utilizzarli)."
Quale tipo di attività fisica è consigliata durante la gravidanza per evitare infortuni?,704,"In gravidanza, l’attività fisica consigliata è l’**esercizio aerobico**, durante il quale si muovono in maniera ritmica i grossi muscoli del corpo, come quelli di braccia e gambe. 

Per evitare infortuni, l'attività scelta deve tenere conto dei cambiamenti del corpo:
* **Evitare movimenti bruschi o traumatici** per non mettere a rischio le articolazioni, che in questo periodo diventano più “soffici” con legamenti che si allungano.
* **Tenere conto dello spostamento in avanti del baricentro** (dovuto all'aumento del volume dell'addome), che sottopone a stress muscoli e articolazioni e aumenta il rischio di caduta per perdita di equilibrio."
Quali sono i vaccini obbligatori che mio figlio deve ricevere?,1177,"In base al testo di riferimento, i vaccini obbligatori per i bambini sono in tutto 10:

* Difterite
* Tetano
* Poliomielite
* Epatite B
* Pertosse
* Haemophilus influenzae di tipo b
* Morbillo
* Parotite
* Rosolia
* Varicella

Queste 10 vaccinazioni vengono somministrate attraverso due vaccini combinati: il vaccino **esavalente** (che contiene sei differenti vaccini) e il vaccino **tetravalente** (morbillo-parotite-rosolia-varicella)."
Come posso aiutare il mio bambino a esprimere i suoi sentimenti quando piange o si dispera?,671,"In base al testo di riferimento, quando un bambino piange o si dispera puoi aiutarlo nel seguente modo:

* **Inizia a nominare i sentimenti che prova e a dar loro un senso.** Ad esempio, puoi dirgli: *«Ti vedo proprio arrabbiato perché vorresti un altro biscotto e invece sono finiti!»*.
* **Rimandagli sempre il suo sentire** anche quando comunica attraverso un'opposizione o un lamento, trovando il tempo di dirgli, ad esempio: *«Sei stufo di camminare, vorresti arrivare presto…»*.

Il regalo più grande che puoi fare al tuo bambino in questi momenti è **fargli sentire che lo hai compreso**, anche se non puoi soddisfare la sua richiesta (come dargli un biscotto che non c'è) o se hai la necessità di raggiungere una destinazione."
A che punto dello sviluppo si trova il feto in questo momento?,52,"In questo momento dello sviluppo, il feto si trova nelle seguenti condizioni:

* **Dimensioni e peso:** è grande circa 12 cm e pesa circa 100 grammi.
* **Sistema nervoso:** continua a svilupparsi, permettendo al feto di iniziare a muovere braccia e gambe.
* **Movimenti:** inizia ad aprire e chiudere le manine e i suoi movimenti sono più intensi. Questi movimenti possono essere già riconosciuti (inizialmente come uno sfarfallio o bolle nella pancia) se si hanno già avute altre gravidanze, mentre in caso di prima gravidanza si faranno sentire più avanti, solitamente dopo la 20ma settimana."
